title,registration_year,registration_date,current_status,objective,commission_answer,initiative_url,signatures_collected_by_country,signatures_countries_threshold_met_count,signatures_collected,funding_total,timeline_collection_closed,timeline_collection_start,legislation
Ban Microplastics,2022,01/01/2022,Collection Unsuccessful,"Require EU-wide phase-out of intentionally added microplastics in cosmetics, detergents and agricultural products by 2028.",,https://citizens-initiative.europa.eu/initiatives/ban-microplastics_en,"{""Austria"": {""statements_of_support"": ""13,359"", ""threshold"": ""14,250"", ""percentage"": ""93.75%""}, ""Czechia"": {""statements_of_support"": ""17,031"", ""threshold"": ""16,500"", ""percentage"": ""103.22%""}, ""Germany"": {""statements_of_support"": ""25,135"", ""threshold"": ""74,250"", ""percentage"": ""33.85%""}, ""Poland"": {""statements_of_support"": ""13,708"", ""threshold"": ""38,250"", ""percentage"": ""35.84%""}, ""Spain"": {""statements_of_support"": ""18,199"", ""threshold"": ""40,500"", ""percentage"": ""44.94%""}}",0.0,87432.0,"175,754.61",,,
Ban Factory Farming,2023,01/01/2023,Collection Unsuccessful,"Prohibit intensive factory farming practices across all EU member states and phase out battery cages, gestation crates and overcrowded housing systems by 2030.",,https://citizens-initiative.europa.eu/initiatives/ban-factory-farming_en,"{""Czechia"": {""statements_of_support"": ""4,603"", ""threshold"": ""16,500"", ""percentage"": ""27.90%""}, ""France"": {""statements_of_support"": ""9,639"", ""threshold"": ""55,500"", ""percentage"": ""17.37%""}, ""Germany"": {""statements_of_support"": ""34,281"", ""threshold"": ""74,250"", ""percentage"": ""46.17%""}, ""Italy"": {""statements_of_support"": ""6,407"", ""threshold"": ""54,750"", ""percentage"": ""11.70%""}, ""Poland"": {""statements_of_support"": ""13,970"", ""threshold"": ""38,250"", ""percentage"": ""36.52%""}}",0.0,68900.0,"101,353.87",07/11/2023,01/01/2023,
End the Cage Age,2023,01/01/2023,Commission Engaged,"Propose legislation to phase out and ultimately prohibit the use of cages for farmed animals including laying hens, rabbits, pullets, broiler breeders, layer breeders, quail, ducks and geese.","The Commission commits to propose legislation to phase out and ban the use of cages for all animals listed in the initiative by 2027, in line with the Farm to Fork Strategy objectives and following a thorough impact assessment.",https://citizens-initiative.europa.eu/initiatives/end-cage-age_en,"{""Austria"": {""statements_of_support"": ""46,746"", ""threshold"": ""14,250"", ""percentage"": ""328.04%""}, ""Belgium"": {""statements_of_support"": ""13,298"", ""threshold"": ""16,500"", ""percentage"": ""80.59%""}, ""Bulgaria"": {""statements_of_support"": ""101,152"", ""threshold"": ""13,500"", ""percentage"": ""749.27%""}, ""Croatia"": {""statements_of_support"": ""8,912"", ""threshold"": ""8,250"", ""percentage"": ""108.02%""}, ""Czechia"": {""statements_of_support"": ""28,530"", ""threshold"": ""16,500"", ""percentage"": ""172.91%""}, ""Denmark"": {""statements_of_support"": ""1,375"", ""threshold"": ""9,750"", ""percentage"": ""14.10%""}, ""Estonia"": {""statements_of_support"": ""3,381"", ""threshold"": ""4,500"", ""percentage"": ""75.13%""}, ""Finland"": {""statements_of_support"": ""20,530"", ""threshold"": ""9,750"", ""percentage"": ""210.56%""}, ""France"": {""statements_of_support"": ""116,289"", ""threshold"": ""55,500"", ""percentage"": ""209.53%""}, ""Germany"": {""statements_of_support"": ""517,669"", ""threshold"": ""74,250"", ""percentage"": ""697.20%""}, ""Greece"": {""statements_of_support"": ""18,720"", ""threshold"": ""16,500"", ""percentage"": ""113.45%""}, ""Hungary"": {""statements_of_support"": ""1,817"", ""threshold"": ""16,500"", ""percentage"": ""11.01%""}, ""Ireland"": {""statements_of_support"": ""71,913"", ""threshold"": ""9,000"", ""percentage"": ""799.03%""}, ""Italy"": {""statements_of_support"": ""103,791"", ""threshold"": ""54,750"", ""percentage"": ""189.57%""}, ""Latvia"": {""statements_of_support"": ""19,762"", ""threshold"": ""6,750"", ""percentage"": ""292.77%""}, ""Lithuania"": {""statements_of_support"": ""5,309"", ""threshold"": ""9,000"", ""percentage"": ""58.99%""}, ""Malta"": {""statements_of_support"": ""78,491"", ""threshold"": ""4,500"", ""percentage"": ""1744.24%""}, ""Netherlands"": {""statements_of_support"": ""23,205"", ""threshold"": ""19,500"", ""percentage"": ""119.00%""}, ""Poland"": {""statements_of_support"": ""52,015"", ""threshold"": ""38,250"", ""percentage"": ""135.99%""}, ""Portugal"": {""statements_of_support"": ""19,831"", ""threshold"": ""16,500"", ""percentage"": ""120.19%""}, ""Romania"": {""statements_of_support"": ""14,181"", ""threshold"": ""24,750"", ""percentage"": ""57.30%""}, ""Slovakia"": {""statements_of_support"": ""5,835"", ""threshold"": ""9,750"", ""percentage"": ""59.85%""}, ""Slovenia"": {""statements_of_support"": ""8,292"", ""threshold"": ""6,000"", ""percentage"": ""138.20%""}, ""Spain"": {""statements_of_support"": ""88,910"", ""threshold"": ""40,500"", ""percentage"": ""219.53%""}, ""Sweden"": {""statements_of_support"": ""27,159"", ""threshold"": ""15,000"", ""percentage"": ""181.06%""}}",14.0,1397113.0,"449,657.55",,,
Ban Glyphosate Renewal,2023,01/01/2023,Collection Unsuccessful,Prevent the renewal of the EU authorisation for the herbicide glyphosate and phase out its use in all EU member states by 2025.,,https://citizens-initiative.europa.eu/initiatives/ban-glyphosate-renewal_en,"{""France"": {""statements_of_support"": ""25,218"", ""threshold"": ""55,500"", ""percentage"": ""45.44%""}, ""Germany"": {""statements_of_support"": ""26,408"", ""threshold"": ""74,250"", ""percentage"": ""35.57%""}, ""Italy"": {""statements_of_support"": ""9,577*"", ""threshold"": ""54,750"", ""percentage"": ""17.49%""}, ""Poland"": {""statements_of_support"": ""8,716"", ""threshold"": ""38,250"", ""percentage"": ""22.79%""}, ""Spain"": {""statements_of_support"": ""8,631"", ""threshold"": ""40,500"", ""percentage"": ""21.31%""}}",0.0,78550.0,"292,773.75",02/11/2023,01/01/2023,
Digital Rights Charter,2023,01/01/2023,Collection Unsuccessful,"Enshrine digital rights including the right to encryption, offline alternatives and algorithmic transparency into a binding EU charter.",,https://citizens-initiative.europa.eu/initiatives/digital-rights-charter_en,"{""Belgium"": {""statements_of_support"": ""6,929*"", ""threshold"": ""16,500"", ""percentage"": ""41.99%""}, ""Czechia"": {""statements_of_support"": ""10,461"", ""threshold"": ""16,500"", ""percentage"": ""63.40%""}, ""Germany"": {""statements_of_support"": ""10,334"", ""threshold"": ""74,250"", ""percentage"": ""13.92%""}, ""Italy"": {""statements_of_support"": ""15,948"", ""threshold"": ""54,750"", ""percentage"": ""29.13%""}, ""Portugal"": {""statements_of_support"": ""10,538"", ""threshold"": ""16,500"", ""percentage"": ""63.87%""}}",0.0,54210.0,"350,251.74",26/06/2024,26/06/2023,
Right to Water,2024,01/01/2024,Law Passed,"Recognise access to safe drinking water and sanitation as a human right, exclude water services from internal market rules and liberalisation, and strengthen EU efforts to achieve universal access to water and sanitation.","Following the European Citizens' Initiative 'Right2Water', the Commission carried out a public consultation and adopted a Communication reaffirming the commitment that water is a public good and a human right. The revised Drinking Water Directive adopted in 2020 strengthens the universal access obligation.",https://citizens-initiative.europa.eu/initiatives/right-to-water_en,"{""Austria"": {""statements_of_support"": ""51,261"", ""threshold"": ""14,250"", ""percentage"": ""359.73%""}, ""Belgium"": {""statements_of_support"": ""26,421"", ""threshold"": ""16,500"", ""percentage"": ""160.13%""}, ""Bulgaria"": {""statements_of_support"": ""151"", ""threshold"": ""13,500"", ""percentage"": ""1.12%""}, ""Croatia"": {""statements_of_support"": ""3,471"", ""threshold"": ""8,250"", ""percentage"": ""42.07%""}, ""Cyprus"": {""statements_of_support"": ""16"", ""threshold"": ""4,500"", ""percentage"": ""0.36%""}, ""Czechia"": {""statements_of_support"": ""25,880"", ""threshold"": ""16,500"", ""percentage"": ""156.85%""}, ""Denmark"": {""statements_of_support"": ""10,909"", ""threshold"": ""9,750"", ""percentage"": ""111.89%""}, ""Estonia"": {""statements_of_support"": ""1,820"", ""threshold"": ""4,500"", ""percentage"": ""40.44%""}, ""Finland"": {""statements_of_support"": ""12,813"", ""threshold"": ""9,750"", ""percentage"": ""131.42%""}, ""France"": {""statements_of_support"": ""319,509"", ""threshold"": ""55,500"", ""percentage"": ""575.69%""}, ""Germany"": {""statements_of_support"": ""622,349"", ""threshold"": ""74,250"", ""percentage"": ""838.18%""}, ""Greece"": {""statements_of_support"": ""45,692"", ""threshold"": ""16,500"", ""percentage"": ""276.92%""}, ""Hungary"": {""statements_of_support"": ""24,264"", ""threshold"": ""16,500"", ""percentage"": ""147.05%""}, ""Ireland"": {""statements_of_support"": ""47"", ""threshold"": ""9,000"", ""percentage"": ""0.52%""}, ""Italy"": {""statements_of_support"": ""164,095"", ""threshold"": ""54,750"", ""percentage"": ""299.72%""}, ""Latvia"": {""statements_of_support"": ""89*"", ""threshold"": ""6,750"", ""percentage"": ""1.32%""}, ""Lithuania"": {""statements_of_support"": ""24"", ""threshold"": ""9,000"", ""percentage"": ""0.27%""}, ""Netherlands"": {""statements_of_support"": ""34,106"", ""threshold"": ""19,500"", ""percentage"": ""174.90%""}, ""Poland"": {""statements_of_support"": ""49,637"", ""threshold"": ""38,250"", ""percentage"": ""129.77%""}, ""Portugal"": {""statements_of_support"": ""59,779"", ""threshold"": ""16,500"", ""percentage"": ""362.30%""}, ""Romania"": {""statements_of_support"": ""41,139"", ""threshold"": ""24,750"", ""percentage"": ""166.22%""}, ""Slovakia"": {""statements_of_support"": ""38,977"", ""threshold"": ""9,750"", ""percentage"": ""399.76%""}, ""Slovenia"": {""statements_of_support"": ""4,736"", ""threshold"": ""6,000"", ""percentage"": ""78.93%""}, ""Spain"": {""statements_of_support"": ""102,161"", ""threshold"": ""40,500"", ""percentage"": ""252.25%""}, ""Sweden"": {""statements_of_support"": ""20,197"", ""threshold"": ""15,000"", ""percentage"": ""134.65%""}}",18.0,1659543.0,"182,759.16",,,"Following the initiative, the Commission proposed a revision of the Drinking Water Directive. On 16 December 2020, the European Parliament formally adopted the revised Drinking Water Directive (Directive (EU) 2020/2184). The Directive entered into force on 12 January 2021. Member States had until 12 January 2023 to transpose it into national legislation, introducing mandatory access to safe water for vulnerable and marginalised groups."
Fur Free Europe,2024,01/01/2024,Law Passed,Ban the farming of animals for their fur across all EU member states and prohibit the import and export of fur and fur products into and from the EU.,The Commission acknowledges the citizens' concerns regarding animal welfare in fur farming. It will assess the feasibility of an EU-wide ban in the context of the upcoming revision of the Animal Welfare legislation and the Farm to Fork Strategy.,https://citizens-initiative.europa.eu/initiatives/fur-free-europe_en,"{""Austria"": {""statements_of_support"": ""119,452"", ""threshold"": ""14,250"", ""percentage"": ""838.26%""}, ""Belgium"": {""statements_of_support"": ""78,785"", ""threshold"": ""16,500"", ""percentage"": ""477.48%""}, ""Bulgaria"": {""statements_of_support"": ""6,608"", ""threshold"": ""13,500"", ""percentage"": ""48.95%""}, ""Croatia"": {""statements_of_support"": ""16,258"", ""threshold"": ""8,250"", ""percentage"": ""197.07%""}, ""Cyprus"": {""statements_of_support"": ""30"", ""threshold"": ""4,500"", ""percentage"": ""0.67%""}, ""Czechia"": {""statements_of_support"": ""23,706"", ""threshold"": ""16,500"", ""percentage"": ""143.67%""}, ""Denmark"": {""statements_of_support"": ""12,281"", ""threshold"": ""9,750"", ""percentage"": ""125.96%""}, ""Finland"": {""statements_of_support"": ""78*"", ""threshold"": ""9,750"", ""percentage"": ""0.80%""}, ""France"": {""statements_of_support"": ""235,018"", ""threshold"": ""55,500"", ""percentage"": ""423.46%""}, ""Germany"": {""statements_of_support"": ""326,441"", ""threshold"": ""74,250"", ""percentage"": ""439.65%""}, ""Greece"": {""statements_of_support"": ""41,496"", ""threshold"": ""16,500"", ""percentage"": ""251.49%""}, ""Hungary"": {""statements_of_support"": ""50,556"", ""threshold"": ""16,500"", ""percentage"": ""306.40%""}, ""Ireland"": {""statements_of_support"": ""458"", ""threshold"": ""9,000"", ""percentage"": ""5.09%""}, ""Italy"": {""statements_of_support"": ""183,455"", ""threshold"": ""54,750"", ""percentage"": ""335.08%""}, ""Latvia"": {""statements_of_support"": ""4,577"", ""threshold"": ""6,750"", ""percentage"": ""67.81%""}, ""Lithuania"": {""statements_of_support"": ""14,162"", ""threshold"": ""9,000"", ""percentage"": ""157.36%""}, ""Luxembourg"": {""statements_of_support"": ""23"", ""threshold"": ""4,500"", ""percentage"": ""0.51%""}, ""Netherlands"": {""statements_of_support"": ""62,364"", ""threshold"": ""19,500"", ""percentage"": ""319.82%""}, ""Poland"": {""statements_of_support"": ""45,917"", ""threshold"": ""38,250"", ""percentage"": ""120.04%""}, ""Portugal"": {""statements_of_support"": ""11,395"", ""threshold"": ""16,500"", ""percentage"": ""69.06%""}, ""Romania"": {""statements_of_support"": ""72,944"", ""threshold"": ""24,750"", ""percentage"": ""294.72%""}, ""Slovakia"": {""statements_of_support"": ""52,383"", ""threshold"": ""9,750"", ""percentage"": ""537.26%""}, ""Slovenia"": {""statements_of_support"": ""3,254"", ""threshold"": ""6,000"", ""percentage"": ""54.23%""}, ""Spain"": {""statements_of_support"": ""135,964"", ""threshold"": ""40,500"", ""percentage"": ""335.71%""}, ""Sweden"": {""statements_of_support"": ""4,714"", ""threshold"": ""15,000"", ""percentage"": ""31.43%""}}",16.0,1502319.0,"307,559.88",,,"The European Parliament adopted a resolution on 14 February 2023 calling on the Commission to propose a Union-wide ban on fur farming and the placing on the market of fur products. The Commission included a legislative proposal on the welfare of farmed animals, covering fur farming, in its 2024–2029 Work Programme. A Regulation phasing out fur farming across all EU Member States was adopted on 22 October 2025 and entered into force on 1 January 2026, with a transitional period for existing farms until 31 December 2027."
EU Housing Guarantee,2024,01/01/2024,Collection Unsuccessful,Establish a legally binding EU-level right to affordable housing and require member states to cap rent increases and expand social housing stock.,,https://citizens-initiative.europa.eu/initiatives/eu-housing-guarantee_en,"{""Czechia"": {""statements_of_support"": ""11,750"", ""threshold"": ""16,500"", ""percentage"": ""71.21%""}, ""France"": {""statements_of_support"": ""27,322"", ""threshold"": ""55,500"", ""percentage"": ""49.23%""}, ""Germany"": {""statements_of_support"": ""15,030"", ""threshold"": ""74,250"", ""percentage"": ""20.24%""}, ""Italy"": {""statements_of_support"": ""19,785"", ""threshold"": ""54,750"", ""percentage"": ""36.14%""}, ""Spain"": {""statements_of_support"": ""21,423"", ""threshold"": ""40,500"", ""percentage"": ""52.90%""}}",0.0,95310.0,"328,930.23",02/12/2024,01/01/2024,
Mandatory Climate Education,2024,01/01/2024,Collection Unsuccessful,Require all EU member states to include mandatory climate change and sustainability education in national school curricula from primary level onwards.,,https://citizens-initiative.europa.eu/initiatives/mandatory-climate-education_en,"{""Czechia"": {""statements_of_support"": ""3,526"", ""threshold"": ""16,500"", ""percentage"": ""21.37%""}, ""France"": {""statements_of_support"": ""8,688"", ""threshold"": ""55,500"", ""percentage"": ""15.65%""}, ""Germany"": {""statements_of_support"": ""6,322"", ""threshold"": ""74,250"", ""percentage"": ""8.51%""}, ""Italy"": {""statements_of_support"": ""8,594*"", ""threshold"": ""54,750"", ""percentage"": ""15.70%""}, ""Poland"": {""statements_of_support"": ""4,070"", ""threshold"": ""38,250"", ""percentage"": ""10.64%""}}",0.0,31200.0,"372,703.96",06/07/2025,06/07/2024,
Fair Digital Platform Work,2025,01/01/2025,Collection Ongoing,"Guarantee minimum standards for platform workers, including transparent algorithmic management, fair pay, and effective collective bargaining rights.",,https://citizens-initiative.europa.eu/initiatives/fair-digital-platform-work_en,"{""Austria"": {""statements_of_support"": ""4,594"", ""threshold"": ""14,250"", ""percentage"": ""32.24%""}, ""Belgium"": {""statements_of_support"": ""198"", ""threshold"": ""16,500"", ""percentage"": ""1.20%""}, ""Bulgaria"": {""statements_of_support"": ""5,595"", ""threshold"": ""13,500"", ""percentage"": ""41.44%""}, ""Croatia"": {""statements_of_support"": ""134*"", ""threshold"": ""8,250"", ""percentage"": ""1.62%""}, ""Cyprus"": {""statements_of_support"": ""1"", ""threshold"": ""4,500"", ""percentage"": ""0.02%""}, ""Czechia"": {""statements_of_support"": ""2,891"", ""threshold"": ""16,500"", ""percentage"": ""17.52%""}, ""Denmark"": {""statements_of_support"": ""9,543"", ""threshold"": ""9,750"", ""percentage"": ""97.88%""}, ""Estonia"": {""statements_of_support"": ""10,321"", ""threshold"": ""4,500"", ""percentage"": ""229.36%""}, ""Finland"": {""statements_of_support"": ""8,245"", ""threshold"": ""9,750"", ""percentage"": ""84.56%""}, ""France"": {""statements_of_support"": ""40,454"", ""threshold"": ""55,500"", ""percentage"": ""72.89%""}, ""Germany"": {""statements_of_support"": ""48,365"", ""threshold"": ""74,250"", ""percentage"": ""65.14%""}, ""Greece"": {""statements_of_support"": ""7,196"", ""threshold"": ""16,500"", ""percentage"": ""43.61%""}, ""Hungary"": {""statements_of_support"": ""7,561"", ""threshold"": ""16,500"", ""percentage"": ""45.82%""}, ""Ireland"": {""statements_of_support"": ""575"", ""threshold"": ""9,000"", ""percentage"": ""6.39%""}, ""Italy"": {""statements_of_support"": ""31,173"", ""threshold"": ""54,750"", ""percentage"": ""56.94%""}, ""Netherlands"": {""statements_of_support"": ""4,233*"", ""threshold"": ""19,500"", ""percentage"": ""21.71%""}, ""Poland"": {""statements_of_support"": ""22,671"", ""threshold"": ""38,250"", ""percentage"": ""59.27%""}, ""Portugal"": {""statements_of_support"": ""4,297"", ""threshold"": ""16,500"", ""percentage"": ""26.04%""}, ""Romania"": {""statements_of_support"": ""21,979"", ""threshold"": ""24,750"", ""percentage"": ""88.80%""}, ""Slovakia"": {""statements_of_support"": ""1,647"", ""threshold"": ""9,750"", ""percentage"": ""16.89%""}, ""Slovenia"": {""statements_of_support"": ""4,106"", ""threshold"": ""6,000"", ""percentage"": ""68.43%""}, ""Spain"": {""statements_of_support"": ""19,224"", ""threshold"": ""40,500"", ""percentage"": ""47.47%""}, ""Sweden"": {""statements_of_support"": ""8,897"", ""threshold"": ""15,000"", ""percentage"": ""59.31%""}}",4.0,263900.0,"16,376.02",,15/03/2025,
End Dark Patterns Online,2025,01/01/2025,Collection Unsuccessful,Prohibit deceptive dark pattern design practices in online platforms and require transparent user interfaces that respect informed consent.,,https://citizens-initiative.europa.eu/initiatives/end-dark-patterns-online_en,"{""France"": {""statements_of_support"": ""8,127"", ""threshold"": ""55,500"", ""percentage"": ""14.64%""}, ""Germany"": {""statements_of_support"": ""10,095"", ""threshold"": ""74,250"", ""percentage"": ""13.60%""}, ""Poland"": {""statements_of_support"": ""4,424"", ""threshold"": ""38,250"", ""percentage"": ""11.57%""}, ""Spain"": {""statements_of_support"": ""4,740"", ""threshold"": ""40,500"", ""percentage"": ""11.70%""}, ""Sweden"": {""statements_of_support"": ""2,484"", ""threshold"": ""15,000"", ""percentage"": ""16.56%""}}",0.0,29870.0,"129,247.88",,,
Save Bees and Farmers,2025,01/01/2025,Awaiting Response,Restore biodiversity and transition to nature-friendly farming by reducing synthetic pesticide use by 80% by 2030 and restoring natural ecosystems on at least 10% of agricultural land.,,https://citizens-initiative.europa.eu/initiatives/save-bees-and-farmers_en,"{""Austria"": {""statements_of_support"": ""62,828"", ""threshold"": ""14,250"", ""percentage"": ""440.90%""}, ""Belgium"": {""statements_of_support"": ""17,975"", ""threshold"": ""16,500"", ""percentage"": ""108.94%""}, ""Bulgaria"": {""statements_of_support"": ""6,807"", ""threshold"": ""13,500"", ""percentage"": ""50.42%""}, ""Croatia"": {""statements_of_support"": ""9,568"", ""threshold"": ""8,250"", ""percentage"": ""115.98%""}, ""Cyprus"": {""statements_of_support"": ""340"", ""threshold"": ""4,500"", ""percentage"": ""7.56%""}, ""Czechia"": {""statements_of_support"": ""31,105"", ""threshold"": ""16,500"", ""percentage"": ""188.52%""}, ""Denmark"": {""statements_of_support"": ""307"", ""threshold"": ""9,750"", ""percentage"": ""3.15%""}, ""Estonia"": {""statements_of_support"": ""377*"", ""threshold"": ""4,500"", ""percentage"": ""8.38%""}, ""Finland"": {""statements_of_support"": ""64"", ""threshold"": ""9,750"", ""percentage"": ""0.66%""}, ""France"": {""statements_of_support"": ""69,816"", ""threshold"": ""55,500"", ""percentage"": ""125.79%""}, ""Germany"": {""statements_of_support"": ""190,204"", ""threshold"": ""74,250"", ""percentage"": ""256.17%""}, ""Greece"": {""statements_of_support"": ""13,382"", ""threshold"": ""16,500"", ""percentage"": ""81.10%""}, ""Hungary"": {""statements_of_support"": ""4,474"", ""threshold"": ""16,500"", ""percentage"": ""27.12%""}, ""Ireland"": {""statements_of_support"": ""8,778"", ""threshold"": ""9,000"", ""percentage"": ""97.53%""}, ""Italy"": {""statements_of_support"": ""108,734"", ""threshold"": ""54,750"", ""percentage"": ""198.60%""}, ""Latvia"": {""statements_of_support"": ""26,838"", ""threshold"": ""6,750"", ""percentage"": ""397.60%""}, ""Lithuania"": {""statements_of_support"": ""4,466"", ""threshold"": ""9,000"", ""percentage"": ""49.62%""}, ""Netherlands"": {""statements_of_support"": ""89,172"", ""threshold"": ""19,500"", ""percentage"": ""457.29%""}, ""Poland"": {""statements_of_support"": ""235,472"", ""threshold"": ""38,250"", ""percentage"": ""615.61%""}, ""Portugal"": {""statements_of_support"": ""48,917"", ""threshold"": ""16,500"", ""percentage"": ""296.47%""}, ""Romania"": {""statements_of_support"": ""62,793"", ""threshold"": ""24,750"", ""percentage"": ""253.71%""}, ""Slovakia"": {""statements_of_support"": ""393"", ""threshold"": ""9,750"", ""percentage"": ""4.03%""}, ""Slovenia"": {""statements_of_support"": ""24"", ""threshold"": ""6,000"", ""percentage"": ""0.40%""}, ""Spain"": {""statements_of_support"": ""54,958"", ""threshold"": ""40,500"", ""percentage"": ""135.70%""}, ""Sweden"": {""statements_of_support"": ""6,528"", ""threshold"": ""15,000"", ""percentage"": ""43.52%""}}",11.0,1054320.0,"452,653.75",,,
Protect Whistleblowers in EU Funds,2025,01/01/2025,Collection Ongoing,"Improve protection for whistleblowers reporting fraud and corruption involving EU funds, with secure reporting channels and safeguards against retaliation.",,https://citizens-initiative.europa.eu/initiatives/protect-whistleblowers-eu-funds_en,"{""Czechia"": {""statements_of_support"": ""6,762"", ""threshold"": ""16,500"", ""percentage"": ""40.98%""}, ""France"": {""statements_of_support"": ""8,284"", ""threshold"": ""55,500"", ""percentage"": ""14.93%""}, ""Germany"": {""statements_of_support"": ""11,433"", ""threshold"": ""74,250"", ""percentage"": ""15.40%""}, ""Italy"": {""statements_of_support"": ""17,784"", ""threshold"": ""54,750"", ""percentage"": ""32.48%""}, ""Poland"": {""statements_of_support"": ""11,597"", ""threshold"": ""38,250"", ""percentage"": ""30.32%""}}",1.0,55860.0,"151,730.70",,01/04/2025,
Ban Facial Recognition in Public,2025,01/01/2025,Collection Ongoing,"Prohibit real-time facial recognition and biometric mass surveillance in publicly accessible spaces across the EU, with narrow exceptions.",,https://citizens-initiative.europa.eu/initiatives/ban-facial-recognition-public_en,"{""Austria"": {""statements_of_support"": ""9,277"", ""threshold"": ""14,250"", ""percentage"": ""65.10%""}, ""Belgium"": {""statements_of_support"": ""8,069"", ""threshold"": ""16,500"", ""percentage"": ""48.90%""}, ""Bulgaria"": {""statements_of_support"": ""924"", ""threshold"": ""13,500"", ""percentage"": ""6.84%""}, ""Cyprus"": {""statements_of_support"": ""1,208"", ""threshold"": ""4,500"", ""percentage"": ""26.84%""}, ""Czechia"": {""statements_of_support"": ""2,098"", ""threshold"": ""16,500"", ""percentage"": ""12.72%""}, ""Estonia"": {""statements_of_support"": ""64"", ""threshold"": ""4,500"", ""percentage"": ""1.42%""}, ""Finland"": {""statements_of_support"": ""7,839"", ""threshold"": ""9,750"", ""percentage"": ""80.40%""}, ""France"": {""statements_of_support"": ""61,472"", ""threshold"": ""55,500"", ""percentage"": ""110.76%""}, ""Germany"": {""statements_of_support"": ""104,050"", ""threshold"": ""74,250"", ""percentage"": ""140.13%""}, ""Greece"": {""statements_of_support"": ""5,054"", ""threshold"": ""16,500"", ""percentage"": ""30.63%""}, ""Hungary"": {""statements_of_support"": ""7,147"", ""threshold"": ""16,500"", ""percentage"": ""43.32%""}, ""Ireland"": {""statements_of_support"": ""3,488*"", ""threshold"": ""9,000"", ""percentage"": ""38.76%""}, ""Italy"": {""statements_of_support"": ""80,751"", ""threshold"": ""54,750"", ""percentage"": ""147.49%""}, ""Latvia"": {""statements_of_support"": ""3,284"", ""threshold"": ""6,750"", ""percentage"": ""48.65%""}, ""Lithuania"": {""statements_of_support"": ""1,465"", ""threshold"": ""9,000"", ""percentage"": ""16.28%""}, ""Luxembourg"": {""statements_of_support"": ""264"", ""threshold"": ""4,500"", ""percentage"": ""5.87%""}, ""Netherlands"": {""statements_of_support"": ""6,481"", ""threshold"": ""19,500"", ""percentage"": ""33.24%""}, ""Poland"": {""statements_of_support"": ""42,046"", ""threshold"": ""38,250"", ""percentage"": ""109.92%""}, ""Portugal"": {""statements_of_support"": ""3,920"", ""threshold"": ""16,500"", ""percentage"": ""23.76%""}, ""Romania"": {""statements_of_support"": ""11,803"", ""threshold"": ""24,750"", ""percentage"": ""47.69%""}, ""Slovakia"": {""statements_of_support"": ""4,262"", ""threshold"": ""9,750"", ""percentage"": ""43.71%""}, ""Slovenia"": {""statements_of_support"": ""287"", ""threshold"": ""6,000"", ""percentage"": ""4.78%""}, ""Spain"": {""statements_of_support"": ""46,926"", ""threshold"": ""40,500"", ""percentage"": ""115.87%""}, ""Sweden"": {""statements_of_support"": ""3,601"", ""threshold"": ""15,000"", ""percentage"": ""24.01%""}}",6.0,415780.0,"190,507.68",,20/05/2025,
Stop Greenwashing Claims,2025,01/01/2025,Collection Ongoing,"Prohibit misleading environmental marketing claims by requiring substantiation, standard labels, and strong penalties for repeat offenders.",,https://citizens-initiative.europa.eu/initiatives/stop-greenwashing-claims_en,"{""Belgium"": {""statements_of_support"": ""15,735"", ""threshold"": ""16,500"", ""percentage"": ""95.36%""}, ""Czechia"": {""statements_of_support"": ""22,861"", ""threshold"": ""16,500"", ""percentage"": ""138.55%""}, ""France"": {""statements_of_support"": ""34,266"", ""threshold"": ""55,500"", ""percentage"": ""61.74%""}, ""Germany"": {""statements_of_support"": ""53,127"", ""threshold"": ""74,250"", ""percentage"": ""71.55%""}, ""Greece"": {""statements_of_support"": ""18,511"", ""threshold"": ""16,500"", ""percentage"": ""112.19%""}}",3.0,144500.0,"220,790.04",,10/06/2025,
European Rail Night Revival,2025,01/02/2025,Collection Ongoing,"Create an EU framework to expand cross-border night trains, improve ticketing interoperability, and prioritise rail over short-haul flights.",,https://citizens-initiative.europa.eu/initiatives/european-rail-night-revival_en,"{""France"": {""statements_of_support"": ""28,281"", ""threshold"": ""55,500"", ""percentage"": ""50.96%""}, ""Germany"": {""statements_of_support"": ""28,454"", ""threshold"": ""74,250"", ""percentage"": ""38.32%""}, ""Hungary"": {""statements_of_support"": ""20,607"", ""threshold"": ""16,500"", ""percentage"": ""124.89%""}, ""Netherlands"": {""statements_of_support"": ""14,003"", ""threshold"": ""19,500"", ""percentage"": ""71.81%""}, ""Spain"": {""statements_of_support"": ""29,985"", ""threshold"": ""40,500"", ""percentage"": ""74.04%""}}",2.0,121330.0,"119,134.58",,01/09/2025,
